,author,category,description,publishedAt,source,title,url
0,Owen Shroyer,Special Reports,Facebook continues targeting conservatives.,"Fri, 29 Jun 2018 16:17:23 +0000",infowars,Pro-Trump Actress Mindy Robinson Speaks Out Against Internet Censorship,https://www.infowars.com/pro-trump-actress-mindy-robinson-speaks-out-against-internet-censorship/
1,Paul Joseph Watson,Featured Stories,Liberal tears never tasted so good.,"Fri, 29 Jun 2018 16:13:49 +0000",infowars,Michael Moore Admits He Cries “Every Day” Over Trump,https://www.infowars.com/michael-moore-admits-he-cries-every-day-over-trump/
2,Dan Lyman,Featured Stories,"Calls for physical revolution by putting ""bodies on line""","Fri, 29 Jun 2018 16:01:06 +0000",infowars,Michael Moore ‘Cries’ Every Day Under Trump,https://www.infowars.com/michael-moore-cries-every-day-under-trump/
3,The Hollywood Reporter,U.S. News,The situations they found themselves in as U.S. presidents are very similar. ,"Fri, 29 Jun 2018 15:41:22 +0000",infowars,Dinesh D’Souza Compares Trump to Lincoln in New Movie Trailer,https://www.infowars.com/dinesh-dsouza-compares-trump-to-lincoln-in-new-movie-trailer/
4,Owen Shroyer,Special Reports,Leftists pushing total amnesty.,"Fri, 29 Jun 2018 15:40:01 +0000",infowars,"‘F**K Borders, F**K Walls,’ Protesters Surround ICE Headquarters",https://www.infowars.com/fk-borders-fk-walls-protesters-surround-ice-headquarters/
5,Dan Lyman,Featured Stories,"Ships facilitating illegal immigration, says officials","Fri, 29 Jun 2018 15:21:39 +0000",infowars,Criminal Charges Against Migrant ‘Rescue’ NGOs – Report,https://www.infowars.com/criminal-charges-against-migrant-rescue-ngos-report/
6,Infowars.com,Featured Stories,Watch the best clips of President Trump slamming establishment hacks.,"Fri, 29 Jun 2018 15:12:12 +0000",infowars,The Ultimate TRUMP Insults & Comebacks Compilation (2018 Edition),https://www.infowars.com/the-ultimate-trump-insults-comebacks-compilation-2018-edition/
7,Jon Rappoport ,Health,Vaccination genetic roulette with a loaded gun,"Fri, 29 Jun 2018 14:51:05 +0000",infowars,Vaccination Alters Genes – Report,https://www.infowars.com/vaccination-alters-genes-report/
8,Bill McMorris ,Uncategorized,Groups gear up to educate public-sector workers on Court ruling ending mandatory union fees,"Fri, 29 Jun 2018 14:31:08 +0000",infowars,Labor Watchdogs Expect Resistance From Gov. Unions,https://www.infowars.com/labor-watchdogs-expect-resistance-from-gov-unions/
9,VOA News,World News,"'Italy is not alone anymore,' said its new Prime Minister Giuseppe Conte","Fri, 29 Jun 2018 14:09:58 +0000",infowars,EU Leaders Reach Agreement on Migration,https://www.infowars.com/eu-leaders-reach-agreement-on-migration/
10,Reuters,World News,"'I think we must prevent the entry of refugees from Syria to Israel, in the past we have prevented such cases'","Fri, 29 Jun 2018 14:05:57 +0000",infowars,Israel must prevent entry of refugees from Syria to Israel: minister,https://www.infowars.com/israel-must-prevent-entry-of-refugees-from-syria-to-israel-minister/
11,Steve Watson ,Featured Stories,"""WHY ARE YOU WALKING AWAY?""","Fri, 29 Jun 2018 14:02:37 +0000",infowars,Video: Mob Of Reporters Angrily Yell At Trump About Maryland Shooting,https://www.infowars.com/video-mob-of-reporters-angrily-yell-at-trump-about-maryland-shooting/
12,Haris Alic	,U.S. News,Democrat's need to win at least 48 House seats and 7 Senate seats for their 'blue wave' to reach the shore,"Fri, 29 Jun 2018 13:53:47 +0000",infowars,Report Throws Water on ‘Blue Wave’,https://www.infowars.com/report-throws-water-on-blue-wave/
13,VOA News,World News,Trump to hold summit with Putin next month,"Fri, 29 Jun 2018 13:50:35 +0000",infowars,"EU, US Extend Sanctions Against Russia",https://www.infowars.com/eu-us-extend-sanctions-against-russia/
14,Infowars.com,Featured Stories,Liberal media quick to attack Trump after latest shooting.,"Fri, 29 Jun 2018 13:27:05 +0000",infowars,Watch Live: Radical Leftists Blame Conservatives And Trump For Gazette Shooter,https://www.infowars.com/breaking-new-evidence-shows-police-stand-down-during-massacre/
15,Paul Joseph Watson,Featured Stories,Gunman's vendetta against newspaper stretched back 7 years.,"Fri, 29 Jun 2018 13:06:55 +0000",infowars,CNN Blames Trump For Newspaper Shooting That Had Nothing to Do With Him,https://www.infowars.com/cnn-blames-trump-for-newspaper-shooting-that-had-nothing-to-do-with-him/
16,CNBC,Featured Stories,Top three contenders report 0 direct private contributions,"Fri, 29 Jun 2018 12:45:59 +0000",infowars,Anti-Corruption Watchdogs Wonder: ‘Who is Funding Mexico’s Presidential Candidates?’,https://www.infowars.com/anti-corruption-watchdogs-wonder-who-is-funding-mexicos-presidential-candidates/
17,Fox News,Featured Stories,"If we build it, they won't come","Fri, 29 Jun 2018 12:14:31 +0000",infowars,Border Patrol Agent: Trump’s Wall Best Way to End Crisis On Border,https://www.infowars.com/border-patrol-agent-trumps-wall-best-way-to-end-crisis-on-border/
18,Breitbart,Featured Stories,"The heinous attack on Capital Gazette headquarters in Annapolis was a mass shooting, but it was simply nowhere close to the 195th such shooting this year.","Fri, 29 Jun 2018 12:13:53 +0000",infowars,Fake News: Alexandria Ocasio-Cortez Spreads Hoax Stats on U.S. Mass Shootings,https://www.infowars.com/fake-news-alexandria-ocasio-cortez-spreads-hoax-stats-on-u-s-mass-shootings/
19,RT,Featured Stories,PM pursuing radical direction for Canada,"Fri, 29 Jun 2018 12:12:47 +0000",infowars,Trudeau’s Overly Liberal Direction Turning Authoritarian?,https://www.infowars.com/trudeaus-overly-liberal-direction-turning-authoritarian/
20,Gatestone Institute,Featured Stories,Dutch join growing list of countries implementing ban,"Fri, 29 Jun 2018 12:07:32 +0000",infowars,The Netherlands Approves Burqa Ban,https://www.infowars.com/the-netherlands-approves-burqa-ban/
21,Voice Of Europe,Featured Stories,The elderly woman was vaginally and anally raped by the migrant on Christmas Eve.,"Fri, 29 Jun 2018 12:04:00 +0000",infowars,INSANE Sweden: Migrant will NOT be deported for raping 92-year-old woman on Christmas Eve,https://www.infowars.com/insane-sweden-migrant-will-not-be-deported-for-raping-92-year-old-woman-on-christmas-eve/
22,Daily Beast,Featured Stories,"“Trump is not going to leave,” Moore predicted to Stephen Colbert, urging Democrats to do everything they can to get him out.","Fri, 29 Jun 2018 11:58:25 +0000",infowars,Michael Moore: We Have to ‘Put Our Bodies on the Line’ to Stop Trump,https://www.infowars.com/michael-moore-we-have-to-put-our-bodies-on-the-line-to-stop-trump/
23,Washington Examiner,Featured Stories,Hicks’ loyalty is undeniable and would be extremely important.,"Fri, 29 Jun 2018 11:23:37 +0000",infowars,Hope Hicks should replace John Kelly as White House chief of staff,https://www.infowars.com/hope-hicks-should-replace-john-kelly-as-white-house-chief-of-staff/
24,Chris Menahan  ,Featured Stories,More Hollywood fun for the whole family!,"Fri, 29 Jun 2018 11:05:37 +0000",infowars,Peter Fonda’s “Boundaries” Movie Bombs After Vile Tweets,https://www.infowars.com/peter-fondas-boundaries-movie-bombs-after-vile-tweets/
25,Joshua Caplan ,Featured Stories,“This is what happens when @realDonaldTrump calls journalists the enemy of the people.”,"Fri, 29 Jun 2018 10:53:17 +0000",infowars,Reuters Editor Blames Trump For Annapolis Shooting: ‘Blood On Your Hands’,https://www.infowars.com/reuters-editor-blames-trump-for-annapolis-shooting-blood-on-your-hands/
26,Infowars.com,Featured Stories,All roads lead to Obama and the Clintons through Rosenstein.,"Fri, 29 Jun 2018 02:27:00 +0000",infowars,Watch: Deep State Weasel Rod Rosenstein Squirms as He’s Grilled in House Testimony,https://www.infowars.com/watch-deep-state-weasel-rod-rosenstein-squirms-as-hes-grilled-in-house-testimony/
27,Harrison Smith,Featured Stories,More winning ahead as Trump prepares to nominate another conservative judge.,"Thu, 28 Jun 2018 23:17:45 +0000",infowars,Supreme Victory! Five Major SCOTUS Wins This Month,https://www.infowars.com/supreme-victory-five-major-scotus-wins-this-month/
28,Laura Cat ,Globalism,Nigerian nurse caught in UK,"Thu, 28 Jun 2018 23:15:32 +0000",infowars,Voodoo Used to Control Human Trafficking Victims,https://www.infowars.com/voodoo-used-to-control-human-trafficking-victims/
29,Infowars.com,Featured Stories,"'I am dedicated to protecting the lives of every American, including the unborn.'","Thu, 28 Jun 2018 23:03:43 +0000",infowars,"President Trump Affirms: Unborn Babies Have “Basic and Fundamental Human Right, the Right to Life”",https://www.infowars.com/president-trump-affirms-unborn-babies-have-basic-and-fundamental-human-right-the-right-to-life/
30,The Alex Jones Show,Government,He's not cooperating with requests.,"Thu, 28 Jun 2018 23:00:53 +0000",infowars,What Won’t Deep State Weasel Rosenstein Turn Over?,https://www.infowars.com/what-wont-deep-state-weasel-rosenstein-turn-over/
31,Kit Daniels,Featured Stories,Anti-Trumpers rush to place blame on shooting despite few known details,"Thu, 28 Jun 2018 22:44:05 +0000",infowars,Leftists Already Blaming Trump For Annapolis Shooting Without Knowing Motive,https://www.infowars.com/liberals-already-blaming-trump-for-annapolis-shooting-without-knowing-motive/
32,Daily Mail,Science & Tech,10 billion trillion trillion tons of carbon-based material staggers experts,"Thu, 28 Jun 2018 22:42:49 +0000",infowars,Massive Amounts of Toxic “Grease” Found in Space,https://www.infowars.com/massive-amounts-of-toxic-grease-found-in-space/
33,CNBC,Economy,Billions down in market values after just two announcements,"Thu, 28 Jun 2018 22:31:38 +0000",infowars,Amazon Wipes Out $17 Billion From Eight Companies in One Day,https://www.infowars.com/amazon-wipes-out-17-billion-from-eight-companies-in-one-day/
34,Market Watch,Economy,Poised to disrupt industry,"Thu, 28 Jun 2018 22:24:52 +0000",infowars,Health-Care Stocks Plunge After Amazon Buys Pharmacy Startup,https://www.infowars.com/health-care-stocks-plunge-after-amazon-buys-pharmacy-startup/
35,Infowars.com,Featured Stories,The President takes on all in this captivating address.,"Thu, 28 Jun 2018 21:58:00 +0000",infowars,Breaking! Trump Makes Amazing World Cup Speech,https://www.infowars.com/breaking-trump-makes-amazing-world-cup-speech/
36,Astronomy,Science & Tech,NASA's rover captures massive storm,"Thu, 28 Jun 2018 21:39:45 +0000",infowars,Mars’ Planet-Encircling Dust Storm Intensifies,https://www.infowars.com/mars-planet-encircling-dust-storm-intensifies/
37,NASA,Science & Tech,Renamed to X-59 QueSST,"Thu, 28 Jun 2018 21:27:26 +0000",infowars,NASA’s Experimental Supersonic Aircraft Uses “Quiet” Tech,https://www.infowars.com/nasas-experimental-supersonic-aircraft-uses-quiet-tech/
38,Science Daily,Health,Small-molecule drug first to preserve mouse's hearing,"Thu, 28 Jun 2018 21:13:45 +0000",infowars,Drug Partially Restores Hearing in Mice,https://www.infowars.com/drug-partially-restores-hearing-in-mice/
39,RT,Featured Stories,Gunman reportedly in custody,"Thu, 28 Jun 2018 21:07:57 +0000",infowars,Five Dead in Annapolis Newspaper Shooting,https://www.infowars.com/five-dead-in-annapolis-newspaper-shooting/
40,Infowars.com,Featured Stories,Check out the new round of submissions by dedicated Infowarriors! 26K in prizes!,"Thu, 28 Jun 2018 20:29:07 +0000",infowars,Video: Bohemian Grove Employees Speak Out – Elites Hide in Shadows,https://www.infowars.com/video-bohemian-grove-employees-speak-out-elites-hide-in-shadows/
41,David Knight,Special Reports,Former FBI Director sabotaged immunity deal.,"Thu, 28 Jun 2018 20:18:01 +0000",infowars,Comey Kept Assange Captive to Hide DNC Fraud,https://www.infowars.com/comey-kept-assange-captive-to-hide-dnc-fraud/
42,David Knight,Special Reports,Degeneracy continues spreading throughout America.,"Thu, 28 Jun 2018 19:53:28 +0000",infowars,Netflix’s Pedo-Porn & Mom Shoots Pedo Breaking Into Home,https://www.infowars.com/netflixs-pedo-porn-mom-shoots-pedo-breaking-into-home/
43,The Alex Jones Show,Featured Stories,Deep State operative claims he didn't threaten to subpoena House staffers.,"Thu, 28 Jun 2018 19:26:08 +0000",infowars,EPIC: Watch Jim Jordan Catch Rosenstein In A Lie,https://www.infowars.com/epic-watch-jim-jordan-catch-rosenstein-in-a-lie/
44,Infowars.com,Featured Stories,Rose 6 percent with Republicans and 4 percent with Democrats.,"Thu, 28 Jun 2018 19:12:59 +0000",infowars,Trump’s Approval Rating With Hispanics Up Ten Percent In One Month,https://www.infowars.com/trumps-approval-rating-with-hispanics-up-ten-percent-in-one-month/
45,Adan Salazar,Featured Stories,Waters given a taste of her own medicine.,"Thu, 28 Jun 2018 18:00:10 +0000",infowars,Backfire: Protesters Show Up Outside Maxine Waters’ House,https://www.infowars.com/backfire-protesters-show-up-outside-maxine-waters-house/
46,Jake Lloyd,Featured Stories,White farmers in South Africa are being hunted down and killed.,"Thu, 28 Jun 2018 17:43:13 +0000",infowars,The Genocide Of White South Africans Is In Full Swing,https://www.infowars.com/the-genocide-of-white-south-africans-is-in-full-swing/
47,Zero Hedge,Economy,"FedEx, UPS stocks take hit","Thu, 28 Jun 2018 17:38:37 +0000",infowars,Amazon Rocks Industry With Army Of Delivery Vans,https://www.infowars.com/amazon-rocks-industry-with-army-of-delivery-vans/
48,Jake Lloyd,Featured Stories,The next Supreme Court justice will be a conservative.,"Thu, 28 Jun 2018 17:35:19 +0000",infowars,SCOTUS: How Donald Trump Will Shape America For Decades To Come,https://www.infowars.com/scotus-how-donald-trump-will-shape-america-for-decades-to-come/
49,Harrison Smith ,Featured Stories,Department of State knew Clinton used private email.,"Thu, 28 Jun 2018 17:30:33 +0000",infowars,Bombshell! Hillary Clinton NEVER Had A State Department E-Mail Address,https://www.infowars.com/bombshell-hillary-clinton-never-had-a-state-department-e-mail-address/
50,The Alex Jones Show,World at War,How will it play out?,"Thu, 28 Jun 2018 17:17:14 +0000",infowars,The Coming Civil War Will Be A Three Front Battle,https://www.infowars.com/the-coming-civil-war-will-be-a-three-front-battle/
51,Owen Shroyer & Jake Lloyd ,Special Reports,Political prisoner Robinson happy to have global support.,"Thu, 28 Jun 2018 17:08:32 +0000",infowars,Tommy Robinson Update From Caolan Robertson,https://www.infowars.com/tommy-robinson-update-from-caolan-robertson/
52,Kit Daniels,Featured Stories,Napolitano was told he was a top pick in 2017 by the president face-to-face,"Thu, 28 Jun 2018 17:05:07 +0000",infowars,Exclusive Report: Napolitano Top Front-Runner For Trump’s Supreme Court Pick,https://www.infowars.com/exclusive-report-napolitano-a-supreme-court-front-runner/
53,Infowars.com,Featured Stories,Labels ruling elite 'stone cold losers.',"Thu, 28 Jun 2018 16:53:16 +0000",infowars,"Trump Slams “Elite,” Says Supporters Are The “Super Elite”",https://www.infowars.com/trump-slams-elite-says-supporters-are-the-super-elite/
54,Owen Shroyer,Special Reports,"The left is going crazy over Kennedy's departure, but wait until Trump makes his selection!","Thu, 28 Jun 2018 16:53:07 +0000",infowars,Supreme Court Vacancy Will Only Increase Trump Derangement Syndrome,https://www.infowars.com/supreme-court-vacancy-will-only-increase-trump-derangement-syndrome/
55,Westmonster,Globalism,Naval units to patrol Libyan coast,"Thu, 28 Jun 2018 16:20:56 +0000",infowars,Italy Sends 12 Ships to Fight Migrant Crisis,https://www.infowars.com/italy-sends-12-ships-to-fight-migrant-crisis/
56,Infowars.com,Featured Stories,Majority of Republicans say censorship likely while Democrats say sites treat everyone equal,"Thu, 28 Jun 2018 16:16:59 +0000",infowars,Poll: Most Americans Say Social Media Sites Censor Political Views,https://www.infowars.com/poll-most-americans-say-social-media-sites-censor-political-views/
57,Ben Perchiron ,Globalism,90-minute meeting reportedly off-record,"Thu, 28 Jun 2018 16:05:40 +0000",infowars,Soros Secret Meeting With Spanish President,https://www.infowars.com/soros-secret-meeting-with-spanish-president/
58,Owen Shroyer,Special Reports,Watch RF measurements spike near towers.,"Thu, 28 Jun 2018 15:47:05 +0000",infowars,Confirmed By Reporter On Scene: Cellphone Towers Are Dangerous,https://www.infowars.com/confirmed-by-reporter-on-scene-cellphone-towers-are-dangerous/
59,Dan Lyman,Featured Stories,"Vows law, order in response to extremism","Thu, 28 Jun 2018 15:30:43 +0000",infowars,Trump Vows to Stop Leftist Anarchists,https://www.infowars.com/trump-protesters-want-leftist-anarchy/
60,Infowars.com,Featured Stories,The left is on suicide watch.,"Thu, 28 Jun 2018 13:06:41 +0000",infowars,Live! Find Out Who Trump Will Nominate To Replace Kennedy At Supreme Court,https://www.infowars.com/watch-live-kennedy-leaves-left-on-suicide-watch/
61,Julia Manchester ,World News,"U.S. and South Korean forces will be 'united, vigilant and ready'","Thu, 28 Jun 2018 12:51:26 +0000",infowars,Mattis vows ‘ironclad’ commitment to South Korean security,https://www.infowars.com/mattis-vows-ironclad-commitment-to-south-korean-security/
62,Susan Crabtree ,World at War,"Source of attacks unknown in both Cuba and China, State continues to investigate","Thu, 28 Jun 2018 12:48:12 +0000",infowars,Pompeo: Health Attack on U.S. Worker in China Medically ‘Consistent’ With Sonic Attacks in Cuba,https://www.infowars.com/pompeo-health-attack-on-u-s-worker-in-china-medically-consistent-with-sonic-attacks-in-cuba/
63,Tom Allard ,World News,Muslims outraged after mayor allows church to be built,"Thu, 28 Jun 2018 12:46:48 +0000",infowars,Islamists fail to sway regional Indonesian elections,https://www.infowars.com/islamists-fail-to-sway-regional-indonesian-elections/
64,Vaishnavi Vaidyanathan ,World News,AEOI says barrel of yellow cake (uranium ore) delivered to the plant,"Thu, 28 Jun 2018 12:44:31 +0000",infowars,Iran Orders Reopening Nuclear Plant If Deal With EU Falls Apart,https://www.infowars.com/iran-orders-reopening-nuclear-plant-if-deal-with-eu-falls-apart/
65,Morgan Gstalter ,Health,'The time to decriminalize marijuana is now',"Thu, 28 Jun 2018 12:40:06 +0000",infowars,Schumer unveils bill to decriminalize marijuana,https://www.infowars.com/schumer-unveils-bill-to-decriminalize-marijuana/
66,Susan Crabtree ,Government,Key U.S. representative at U.N. failed to question honors bestowed on Maduro regime,"Thu, 28 Jun 2018 12:38:27 +0000",infowars,Conservatives Push Back Against Attacks on Trump Appointees at State Department,https://www.infowars.com/conservatives-push-back-against-attacks-on-trump-appointees-at-state-department/
67,Paul Joseph Watson,Featured Stories,"""This is the tolerant left. Make no mistake of that, this is how they feel"".","Thu, 28 Jun 2018 12:33:49 +0000",infowars,Trump Jr. Blames Dems’ Rhetoric For Assassination Threats,https://www.infowars.com/trump-jr-blames-dems-rhetoric-for-assassination-threats/
68,Sputnik,Featured Stories,Seehofer optimistic about reaching solution to migration issue,"Thu, 28 Jun 2018 12:21:28 +0000",infowars,German Minister: Bavarian Conservatives Won’t Try to Oust Merkel,https://www.infowars.com/german-minister-bavarian-conservatives-wont-try-to-oust-merkel/
69,Town Hall,Featured Stories,Leftists reveal desire to trade our prosperity for their power,"Thu, 28 Jun 2018 12:01:16 +0000",infowars,It Is Terrible To Be A Liberal In 2018 – Which Is Awesome,https://www.infowars.com/it-is-terrible-to-be-a-liberal-in-2018-which-is-awesome/
70,Steve Watson ,Featured Stories,"Democrats advocate 'throwing down', 'playing by street rules' to stop Trump.","Thu, 28 Jun 2018 12:01:07 +0000",infowars,‘We’re Looking at the Destruction of the Constitution of the United States’: Leftist Meltdown At Trump SCOTUS Pick,https://www.infowars.com/were-looking-at-the-destruction-of-the-constitution-of-the-united-sates-leftist-meltdown-at-trump-scotus-pick/
71,Dan Lyman,Featured Stories,Austria rejects neighboring Germany's open border policy,"Thu, 28 Jun 2018 11:59:15 +0000",infowars,‘Integrate or Leave’ – New Immigration Guidelines For Upper Austria,https://www.infowars.com/integrate-or-leave-new-immigration-guidelines-for-upper-austria/
72,Reuters,Featured Stories,Finland to host highly anticipated meeting,"Thu, 28 Jun 2018 11:56:32 +0000",infowars,Putin-Trump Summit to Take Place In Helsinki On July 16: Kremlin,https://www.infowars.com/putin-trump-summit-to-take-place-in-helsinki-on-july-16-kremlin/
73,Washington Examiner,Featured Stories,Confirmation hearings for whomever Trump nominates will be contentious.,"Thu, 28 Jun 2018 11:55:43 +0000",infowars,Trump’s Supreme Court legacy could be more conservative than Reagan’s,https://www.infowars.com/trumps-supreme-court-legacy-could-be-more-conservative-than-reagans/
74,RT,Featured Stories,Artist ridicules Russian conspiracy theorists in new video,"Thu, 28 Jun 2018 11:55:23 +0000",infowars,Russian Pop Star Trolls Russiagaters In Satire Clip Featuring Trump & Co.,https://www.infowars.com/russian-pop-star-trolls-russiagaters-in-satire-clip-featuring-trump-co/
75,Darrin McBreen ,Featured Stories,"Trump trolls the media in the past, present and future","Thu, 28 Jun 2018 11:53:19 +0000",infowars,"Video: Trump, The Ultimate Troll",https://www.infowars.com/trump-the-ultimate-troll/
76,Voice Of Europe,Featured Stories,The man later defended himself saying he “only” showed parts of his penis to the child because the six-year-old “asked him” to do it by saying “pippi”.,"Thu, 28 Jun 2018 11:53:10 +0000",infowars,Sweden releases migrant who showed his penis to 6y/o child: ‘He just wanted to show his skin colour’,https://www.infowars.com/sweden-releases-migrant-who-showed-his-penis-to-6y-o-child-he-just-wanted-to-show-his-skin-colour/
77,Daily Caller,Featured Stories,Waters isn’t alone in abandoning political norms to go after Trump.,"Thu, 28 Jun 2018 11:48:50 +0000",infowars,Prominent Democrats Keep Destroying Norms To Go After Trump,https://www.infowars.com/prominent-democrats-keep-destroying-norms-to-go-after-trump/
78,Breitbart,Featured Stories,New figures show that 4.5 million homes across the country have access to firearms.,"Thu, 28 Jun 2018 11:37:24 +0000",infowars,Italian Gun Ownership on the Rise as Populist Salvini Offers Stronger Self-Defence Laws,https://www.infowars.com/italian-gun-ownership-on-the-rise-as-populist-salvini-offers-stronger-self-defence-laws/
79,Westmonster,Featured Stories,England’s population has surged by a ridiculously high 8.2% since 2007.,"Thu, 28 Jun 2018 11:21:29 +0000",infowars,"UK population 66 million: Increase of 400,000 in one year, 59% due to migration",https://www.infowars.com/uk-population-66-million-increase-of-400000-in-one-year-59-due-to-migration/
80,Chris Menahan  ,Featured Stories,The DNC was heard melting down on a conference call.,"Thu, 28 Jun 2018 10:26:28 +0000",infowars,SALTY LIB TEARS: Record Salt Harvest After Justice Kennedy Resigns From Supreme Court,https://www.infowars.com/salty-lib-tears-record-salt-harvest-after-justice-kennedy-resigns-from-supreme-court/
81,Infowars.com,Featured Stories,Do you want a negotiator that’s 'mean as a wolverine' or 'meek as a mouse'?,"Wed, 27 Jun 2018 23:35:45 +0000",infowars,"Dan Rather Says Trump ‘Mean as a Wolverine,’ Deplorables Embrace Phrase",https://www.infowars.com/dan-rather-says-trump-mean-as-a-wolverine-deplorables-embrace-phrase/
82,The Alex Jones Show,Health,The Health Ranger shares tips on how to stay in shape.,"Wed, 27 Jun 2018 22:58:23 +0000",infowars,Defending America Starts With Protecting Your Health,https://www.infowars.com/defending-america-starts-with-protecting-your-health/
83,David Knight,Health,What is causing American farmers to kill themselves?,"Wed, 27 Jun 2018 22:52:16 +0000",infowars,Farmer Suicides In USA 5X National Avg,https://www.infowars.com/farmer-suicides-in-usa-5x-national-avg/
84,Paul Joseph Watson,Featured Stories,How satire was turned into a brainwahsing tool.,"Wed, 27 Jun 2018 22:21:05 +0000",infowars,The Comedy Conspiracy,https://www.infowars.com/the-comedy-conspiracy/
85,David Knight,Special Reports,Another conservative state legalizes weed.,"Wed, 27 Jun 2018 21:57:13 +0000",infowars,Oklahoma Ok’s Med Marijuana,https://www.infowars.com/oklahoma-oks-med-marijuana/
86,David Knight,Special Reports,Travel-ban upheld.,"Wed, 27 Jun 2018 21:36:05 +0000",infowars,Supremes Slap Down ‘Resistance’,https://www.infowars.com/supremes-slap-down-resistance/
87,Infowars.com,Featured Stories,California Democrat can't handle scrutiny from pro-Trump figures.,"Wed, 27 Jun 2018 21:24:05 +0000",infowars,Maxine Waters Staffer Threatens To Call Police On Diamond & Silk During Office Visit,https://www.infowars.com/maxine-waters-staffer-threatens-to-call-police-on-diamond-silk-during-office-visit/
88,"John Stevenson, City University London ",Science & Tech,Locations change but number stays same,"Wed, 27 Jun 2018 21:21:54 +0000",infowars,People Only Frequent 25 Places at Any Time – Study,https://www.infowars.com/people-only-frequent-25-places-at-any-time-study/
89,Reuters,Economy,Decision to have lasting impact on patent laws,"Wed, 27 Jun 2018 21:08:23 +0000",infowars,"Apple, Samsung Settle Seven-Year Patent Dispute",https://www.infowars.com/apple-samsung-settle-seven-year-patent-dispute/
90,Infowars.com,Featured Stories,"GOP constituents want border wall and security, not blanket amnesty.","Wed, 27 Jun 2018 19:46:52 +0000",infowars,Paul Ryan’s Amnesty Bill Soundly Rejected by 112 Republicans,https://www.infowars.com/paul-ryans-amnesty-bill-soundly-rejected-by-112-republicans/
91,Kit Daniels,Featured Stories,Liberal wing of court loses power with Kennedy's retirement,"Wed, 27 Jun 2018 19:09:45 +0000",infowars,Reminder: Retiring Justice Kennedy Was Swing Voter,https://www.infowars.com/reminder-retiring-justice-kennedy-was-swing-voter/
92,Infowars.com,Featured Stories,Street art fights back against #resistance attacks on conservatives.,"Wed, 27 Jun 2018 18:59:34 +0000",infowars,‘Republicans Are Forbidden’: Nazi-Style Democrat Propaganda Floods LA,https://www.infowars.com/republicans-are-forbidden-nazi-style-democrat-propaganda-floods-la/
93,NASA,Science & Tech,Largest international space science project in U.S. history,"Wed, 27 Jun 2018 18:54:27 +0000",infowars,Cutting-Edge NASA Telescope Set for 2020,https://www.infowars.com/cutting-edge-nasa-telescope-set-for-2020/
94,Infowars.com,Featured Stories,Ex-CIA Deputy Director is on television to push propaganda on the American people.,"Wed, 27 Jun 2018 18:46:32 +0000",infowars,CIA’s MSM Analyst Drags America Through The ‘Mudd’,https://www.infowars.com/cias-msm-analyst-drags-america-through-the-mudd/
95,Infowars.com,Featured Stories,"Napolitano on Trump's short list, as mentioned in previous report","Wed, 27 Jun 2018 18:30:04 +0000",infowars,Infowars Was Right: Justice Kennedy to Resign,https://www.infowars.com/infowars-was-right-justice-kennedy-to-resign/
96,Infowars.com,Featured Stories,Establishment collaborates to dehumanize conservatives ahead of violent uprising.,"Wed, 27 Jun 2018 17:56:44 +0000",infowars,"Shock Compilation: Dems, Celebrities & Mainstream Media Push Violence Against Pro-Trumpers",https://www.infowars.com/shock-compilation-dems-celebrities-mainstream-media-push-violence-against-pro-trumpers/
97,Sputnik,World at War,Afrin blast leaves 11 Dead,"Wed, 27 Jun 2018 17:44:34 +0000",infowars,Multiple Car Bombs in Syria – Source,https://www.infowars.com/multiple-car-bombs-in-syria-source/
98,Reuters,World at War,Xi firm against Mattis over territory,"Wed, 27 Jun 2018 17:36:22 +0000",infowars,Tensions Rise Over South China Sea,https://www.infowars.com/tensions-rise-over-south-china-sea/
99,CNBC,Economy,Advertisers must be pre-approved,"Wed, 27 Jun 2018 17:25:15 +0000",infowars,Facebook Reverses Ban on Cryptocurrency Ads,https://www.infowars.com/facebook-reverses-ban-on-cryptocurrency-ads/
